name,address,image,rating,description,totalscore,cantcomment
Best Western Plus Lincoln Inn & Suites,2201 Wildcat Cir,Best_Western_Plus_Lincoln_Inn___Suites.png,9.997825771570206,"Hotels Motels,Hotel",9.997825771570206,1
Holiday Inn Express,11111 W North Ave,Holiday_Inn_Express.png,9.99781534075737,"Hotels and motels,Hotel",9.99781534075737,1
Red Roof Plus+ Baltimore Washington Dc/bw Parkway,7306 Parkway Dr,Red_Roof_Plus+_Baltimore_Washington_Dc_bw_Parkway.png,9.997814148664474,"Hotels,Hotels and motels,Hotel and motel reservations,General Travel,Hotel",9.997814148664474,1
Phoenix Motel Oregon,510 N Main St,Phoenix_Motel_Oregon.png,9.997784346342089,"Hotels and motels,Hotel and motel reservations,Hotel",9.997784346342089,1
Hawthorn Suites By Wyndham Oshkosh,3105 S Washburn St,Hawthorn_Suites_By_Wyndham_Oshkosh.png,9.997751116752625,"Family-Friendly Hotels,Extended Stay,Hotels and motels,Hotel and motel reservations,Apartment Hotels,Weekend Getaway Hotels,Tourist Hotels,Hotels Motels,Hotels & Motels,Business Hotels,Hotel",9.997751116752625,1
Song of the Sea,863 E Gulf Dr,Song_of_the_Sea.png,9.997745156288149,"Hotels and motels,Resorts,Lodging,Hotels Motels,Hotel",9.997745156288149,1
Comfort Inn Suites West - Medical Center,2005 Commerce Dr NW,Comfort_Inn_Suites_West_-_Medical_Center.png,9.997742474079132,"Hotels,Travel and Tourism,Lodging,Hotels Motels,Motels,Hotel",9.997742474079132,1
Larkspur Landing Renton,1701 E Valley Rd,Larkspur_Landing_Renton.png,9.997740983963013,"Hotels and motels,Hotel",19.995481967926025,2
Dock's Motel Cabins,8219 State Highway 73,Dock_s_Motel_Cabins.png,9.997740685939789,"Hotels and motels,Hotel and motel reservations,Tennessee (tn),Hotel",9.997740685939789,1
Great View Motel,2233 State Route 37,Great_View_Motel.png,9.99773770570755,"Hotels,Hotels and motels,Lodging,Hotels Motels,Motels,Hotel",9.99773770570755,1
Best Western Casino Inn,2466 Toomey Rd,Best_Western_Casino_Inn.png,9.997735023498535,"Hotels,Hotels and motels,Lodging,Hotels Motels,Motels,Hotel",9.997735023498535,1
Inn On Ferry Street,84 E Ferry Street,Inn_On_Ferry_Street.png,9.997726380825045,"Hotels,Lodging,Hotel,Restaurants",9.997726380825045,1
The Summit Of Gatlinburg,1260 Ski View Dr,The_Summit_Of_Gatlinburg.png,9.99771684408188,"Condominiums,Hotels and motels,Hotel and motel reservations,Hotel",9.99771684408188,1
Aloft Houston by the Galleria,5415 Westheimer Rd,Aloft_Houston_by_the_Galleria.png,9.997709095478058,"Hotels and motels,Resorts,Ski Resorts,Lodging,Luxury Hotels,Family-friendly Hotels,Hotels,Hotel Uptown-Galleria,Boutique Hotels,Hotel and motel reservations,Weekend Getaway Hotels,Tourist Hotels,Hotels Motels,Hotels & Motels,Hotel,Business Hotels",9.997709095478058,1
Element Las Vegas Summerlin,10555 Discovery Dr,Element_Las_Vegas_Summerlin.png,9.997695982456207,"Hotels,Hotel and motel consultants,Hotel Summerlin,Resorts,Hotels and motels,Hotel and motel reservations,Corporate Lodging,Lodging,Motels,Hotel",9.997695982456207,1
Hilton Garden Inn Williamsburg,1624 Richmond Rd,Hilton_Garden_Inn_Williamsburg.png,9.997691214084623,"Hotels,Hotels and motels,Hotel",9.997691214084623,1
Best Western Plus Fresno Inn,480 E Shaw Ave,Best_Western_Plus_Fresno_Inn.png,9.997673481702805,"Hotels Motels,Hotel",9.997673481702805,1
Staybridge Suites-colorado Springs,7130 Commerce Center Dr,Staybridge_Suites-colorado_Springs.png,9.99766245484352,"Hotels and motels,Hotel",9.99766245484352,1
My Place Hotel-south Omaha/la Vista Ne,7823 S 123rd Plz,My_Place_Hotel-south_Omaha_la_Vista_Ne.png,9.997639507055284,"Hotels,Hotel and motel consultants,Hotels and motels,Hotel and motel reservations,Lodging,Hotels Motels,Motels,Hotel",9.997639507055284,1
Hotel Bentley,200 Desoto Street,Hotel_Bentley.png,9.997608214616776,"Hotels,Lodging,Motels,Hotel",9.997608214616776,1
The Parisian Courtyard Inn,1726 Prytania St,The_Parisian_Courtyard_Inn.png,9.997601062059402,"Hotels and motels,Hotel",9.997601062059402,1
BEST WESTERN PLUS Castlerock Inn & Suites,501 SE Walton Blvd,BEST_WESTERN_PLUS_Castlerock_Inn___Suites.png,9.99759078025818,"Hotels,Corporate Housing,Hotels and motels,Hotel and motel mgmt.,Lodging,Hotels Motels,Hotels & Motels,Hotel",9.99759078025818,1
Inn at the 5th,205 E 6th Ave,Inn_at_the_5th.png,9.997585713863373,"Hotels and motels,Hotels Motels,Hotel",9.997585713863373,1
Hilton Garden Inn Oxnard/Camarillo,2000 Solar Drive,Hilton_Garden_Inn_Oxnard_Camarillo.png,9.997584223747252,"Hotels,Lodging,Hotels Motels,Hotel",9.997584223747252,1
Worldmark New Braunfels,1546 Gruene Rd,Worldmark_New_Braunfels.png,9.997577965259552,"Hotels,Resorts,Hotels and motels,Lodging,Hotels Motels,Hotel",9.997577965259552,1
Ye Olde Danish Inn,132 Ocean Ave,Ye_Olde_Danish_Inn.png,9.99756783246994,"Hotels,Hotel",9.99756783246994,1
Days Inn-Hampton,1918 Coliseum Dr,Days_Inn-Hampton.png,9.997567236423492,"Hotels and motels,Hotel",9.997567236423492,1
Holiday Inn Express Suites Lander,1002 11th St,Holiday_Inn_Express_Suites_Lander.png,9.997545778751372,"Resorts,Budget Hotels,Hotels and motels,Corporate Lodging,Lodging,Banquet Halls and Reception Facilities,Motels,Hotels,Family-Friendly Hotels,Hotel and motel reservations,Weekend Getaway Hotels,Tourist Hotels,Hotels & Motels,Hotel,Beach Hotels,Business Hotels",19.995091557502747,2
Hampton Inn Wilkesboro,1300 Collegiate Drive,Hampton_Inn_Wilkesboro.png,9.997545182704926,"Hotels Motels,Hotel",9.997545182704926,1
Hampton Inn Suites Redding,2160 Larkspur Ln,Hampton_Inn_Suites_Redding.png,9.997540712356567,"Hotels,Corporate Lodging,Lodging,Hotel",9.997540712356567,1
Seaward Inn,1122 Nc Highway 210,Seaward_Inn.png,9.997529089450836,"Hotels,Bed and Breakfast and Inns,Lodging,Hotels Motels,Hotel",9.997529089450836,1
Comfort Inn Buckhead North,5793 Roswell Rd Ne,Comfort_Inn_Buckhead_North.png,9.997527003288267,"Hotels,Hotel",9.997527003288267,1
Hampton Inn Suites Phenix City-Columbus Area,620 Martin Luther King Jr Pkwy,Hampton_Inn_Suites_Phenix_City-Columbus_Area.png,9.997512549161913,"Hotels,Corporate Lodging,Lodging,Hotel",9.997512549161913,1
Hyatt Place Indianapolis/keystone,9104 Keystone Xing,Hyatt_Place_Indianapolis_keystone.png,9.997503012418749,"Hotels and motels,American restaurants,Hotel,Restaurants",9.997503012418749,1
Sleep inn,115 Holiday Dr,Sleep_inn.png,9.997498840093613,"Hotels,Corporate Lodging,Lodging,Hotels Motels,Motels,Hotel",9.997498840093613,1
Hampton Inn-rawlins,406 Airport Rd,Hampton_Inn-rawlins.png,9.99748393893242,"Hotels and motels,Hotel",9.99748393893242,1
Hotel Floyd,300 Rick Lewis Way,Hotel_Floyd.png,9.99747470021248,"Hotels,Hotel",9.99747470021248,1
Best Western Rose City Conference Center Inn,133 Liberty St,Best_Western_Rose_City_Conference_Center_Inn.png,9.997472614049911,"Hotels and motels,Hotel and motel mgmt.,Hotel",9.997472614049911,1
Lighthouse Inn,4218 Main St,Lighthouse_Inn.png,9.997461885213852,"Hotels,Hotels and motels,Hotel",9.997461885213852,1
Red Roof Inn Suites Danville,389 Lynch Dr,Red_Roof_Inn_Suites_Danville.png,9.997459799051285,"Hotels,Lodging,Motels,Hotel",9.997459799051285,1
Comfort Suites-lexington,325 W Main St,Comfort_Suites-lexington.png,9.997457414865494,"Hotels,Hotels and motels,Lodging,Hotel",9.997457414865494,1
Hotel Beverly Terrace,469 N Doheny Dr,Hotel_Beverly_Terrace.png,9.99744325876236,"Hotels and motels,Hotel and motel reservations,Hotel,Restaurants",9.99744325876236,1
Comfort Inn Airport,1321 E. 78th St.,Comfort_Inn_Airport.png,9.997442364692688,"Hotels Motels,Hotel",9.997442364692688,1
Hampton Inn Muskegon,1401 E Ellis Rd,Hampton_Inn_Muskegon.png,9.99743551015854,"Hotels and motels,Hotel",9.99743551015854,1
La Quinta Inn Suites Canton,152 Soldiers Colony Rd,La_Quinta_Inn_Suites_Canton.png,9.99741643667221,"Bed Breakfasts,Budget Hotels,Apartment Hotels,Business Services,Lodging,Travel,Family-Friendly Hotels,Extended Stay,Weekend Getaway Hotels,Tourist Hotels,Hotels Motels,Hotel,Beach Hotels,Business Hotels",19.99483287334442,2
Red Roof Inn Columbus-ohio State Fairgrounds,1221 E Dublin Granville Rd,Red_Roof_Inn_Columbus-ohio_State_Fairgrounds.png,9.997411966323853,"Hotels,Electronic publishing,Hotels and motels,Hotel Forest Park West,Internet and online services,Hotel",9.997411966323853,1
Econo Lodge Inn Suites Near Legoland,3666 Pio Pico Dr,Econo_Lodge_Inn_Suites_Near_Legoland.png,9.997405409812927,"Hotels and motels,Hotel and motel reservations,Motel,Hotel",9.997405409812927,1
The Sheeley House Bed Breakfast,6 Fairview Ave,The_Sheeley_House_Bed_Breakfast.png,9.99739833176136,"Bed Breakfast,Hotels Motels,Hotel",19.99479666352272,2
Knights Inn-mt Gilead,5898 State Route 95,Knights_Inn-mt_Gilead.png,9.99738723039627,"Hotels,Budget Hotels,Hotels and motels,Hotel and motel reservations,Apartment Hotels,Meeting & Event Planning Services,Hotels Motels,Halls Auditoriums & Ballrooms,,Motels,Hotel",9.99738723039627,1
Fossil Butte Motel,1424 Central Ave,Fossil_Butte_Motel.png,9.997386038303375,"Hotels,Hotels and motels,Hotel and motel reservations,Travel and Tourism,Lodging,Hotels Motels,Motels,Hotels & Motels,Hotel",9.997386038303375,1
Quality Inn,945 J Clyde Morris Blvd,Quality_Inn.png,9.99738484621048,"Hotels,Restaurant,Hotel",9.99738484621048,1
Comfort Inn-green River,1975 E Main St,Comfort_Inn-green_River.png,9.997381567955015,"Hotel and motel consultants,Hotels and motels,Hotel",9.997381567955015,1
Kimberling Oaks Resort,31 Holiday Dr,Kimberling_Oaks_Resort.png,9.997381567955015,"Hotels,Resorts,Hotels and motels,Cabins,Resort,Lodging,Hotels Motels,Motels,Hotels & Motels,Hotel",9.997381567955015,1
Hampton Inn Texarkana Arkansas,5302 Crossroads Pkwy,Hampton_Inn_Texarkana_Arkansas.png,9.997376576066015,"Hotels,Corporate Lodging,Lodging,Hotel",19.994753152132034,2
Estes Park Condos,1400 David Dr,Estes_Park_Condos.png,9.997370690107346,"Condominiums,Hotels and motels,Hotel and motel reservations,Resorts,Hotel",29.99211207032204,3
Aloft Dallas Downtown,1033 Young St,Aloft_Dallas_Downtown.png,9.997368901968002,"Hotels,Hotels and motels,Banquet facilities,Hotel",9.997368901968002,1
Holiday Inn Express Atlanta-kennesaw,2485 George Busbee Pkwy Nw,Holiday_Inn_Express_Atlanta-kennesaw.png,9.997356981039047,"Hotels and motels,Hotel",9.997356981039047,1
Hampton Inn Newport NewsYorktown,151 Ottis St,Hampton_Inn_Newport_NewsYorktown.png,9.997354969382286,"Hotels,Corporate Lodging,Lodging,Hotel",19.99470993876457,2
Homewood Suites by Hilton Concord Charlotte,7300 Scott Padgett Parkway,Homewood_Suites_by_Hilton_Concord_Charlotte.png,9.997328259050846,"Hotels Motels,Hotel",39.98931303620338,4
Best Western Park Crest Inn,1100 Munras Ave,Best_Western_Park_Crest_Inn.png,9.99732568860054,"Hotels Motels,Hotel",9.99732568860054,1
Best Western Lakewood Inn,122 Arrowhead Boulevard,Best_Western_Lakewood_Inn.png,9.99732330441475,"Hotels,Lodging,Hotel",9.99732330441475,1
Holiday Inn Express Suites Madison Central,610 John Nolen Dr,Holiday_Inn_Express_Suites_Madison_Central.png,9.997323205073675,"Extended Stay,Family-Friendly Hotels,Hotels and motels,Budget Hotels,Resorts,Weekend Getaway Hotels,Tourist Hotels,Lodging,Hotels Motels,Hotel,Beach Hotels,Business Hotels",29.991969615221024,3
El Pueblo Lodge,412 Paseo Del Pueblo Norte,El_Pueblo_Lodge.png,9.997320622205734,"Hotels,Resorts,Lodging,Hotels Motels,Motels,Hotel",9.997320622205734,1
Days Inn Hotel Spencer IA,10 11th St SE,Days_Inn_Hotel_Spencer_IA.png,9.99732032418251,"Hotels,Lodging,Hotels Motels,Motels,Hotel",9.99732032418251,1
Best Western Plus Suites-Greenville,2310 Greenville Blvd NE,Best_Western_Plus_Suites-Greenville.png,9.997299686074255,"Hotels,Lodging,Hotels Motels,Hotel",19.99459937214852,2
Neu Lodge Motel,20821 Antlers Rd,Neu_Lodge_Motel.png,9.997298121452332,"Hotels and motels,Hotel and motel reservations,Hotels Motels,Hotel",9.997298121452332,1
The Monte Vista Hotel,308 W State St,The_Monte_Vista_Hotel.png,9.99729335308075,"Hotels Motels,Hotel",9.99729335308075,1
EVEN Hotel Brooklyn,46 Nevins St,EVEN_Hotel_Brooklyn.png,9.99729186296463,"Hotels and motels,Wedding Sites,Meeting Facilities,Hotels Motels,Hotel",9.99729186296463,1
Duchamp Hotel,421 Foss St,Duchamp_Hotel.png,9.997270181775091,"Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Hotels Motels,Motels,Hotel",19.994540363550183,2
Serenity Bay Resort,1276 Halberstadt Rd,Serenity_Bay_Resort.png,9.997266829013824,"Hotels,Resorts,Resort,Hotel",9.997266829013824,1
Hampton Inn Roanoke/Hollins - I-81,7922 Plantation Rd,Hampton_Inn_Roanoke_Hollins_-_I-81.png,9.997266232967377,"Hotels,Corporate Lodging,Lodging,Hotels Motels,Hotel",9.997266232967377,1
Countryside Cottages,2863 Bartonsville Ave,Countryside_Cottages.png,9.997257590293884,"Hotels,Resorts,Hotel",9.997257590293884,1
Extended Stay America-salt Lake City-union Park,7555 S Union Park Ave,Extended_Stay_America-salt_Lake_City-union_Park.png,9.997247904539108,"Hotels,Hotel and motel consultants,Hotels and motels,Hotel and motel reservations,Corporate Lodging,Lodging,Hotels-Apartment,Hotel",19.994495809078217,2
Hampton Inn-medford,1122 Morrow Rd,Hampton_Inn-medford.png,9.997246861457825,"Hotels and motels,Hotel",9.997246861457825,1
Best Western Spooner Riverplace,101 W Maple St,Best_Western_Spooner_Riverplace.png,9.997245371341704,"Hotels and motels,Hotel and motel mgmt.,Hotels Motels,Hotel",9.997245371341704,1
Super 8-Los Angeles Downtown,1341 W Sunset Blvd,Super_8-Los_Angeles_Downtown.png,9.997238516807556,"Hotels,Hotels and motels,Hotel and motel reservations,Budget Hotels,Hotels Motels,Hotel",9.997238516807556,1
Chart House Suites On Clearwater Bay,850 Bayway Blvd,Chart_House_Suites_On_Clearwater_Bay.png,9.997225254774094,"Hotels and motels,Hotel Clearwater Point,Hotel",19.994450509548187,2
Desert Eclipse Resort,537 S Grenfall Rd,Desert_Eclipse_Resort.png,9.997223764657974,"Concierge Service,Resorts,Hotels Motels,Hotels & Motels,Hotel",9.997223764657974,1
Microtel Inn Suites By Wyndham Mesquite/dallas At I-30,3424 Sorrento Dr,Microtel_Inn_Suites_By_Wyndham_Mesquite_dallas_At_I-30.png,9.99722108244896,"Hotels and motels,Hotel and motel reservations,Hotel",9.99722108244896,1
Tmi Hospitality,3421 N 14th St,Tmi_Hospitality.png,9.9972153455019,"Hotels,Lodging,Hotels Motels,Motels,Hotel",19.9944306910038,2
Best Western Plus Independence Inn Suites,2100 Swan Lake Blvd,Best_Western_Plus_Independence_Inn_Suites.png,9.997208788990974,"Hotels,Hotels and motels,Hotel and motel mgmt.,Lodging,Hotels Motels,Hotel",19.99441757798195,2
Corporate Inn Sunnyvale,805 E El Camino Real,Corporate_Inn_Sunnyvale.png,9.997203201055529,"Hotels,Corporate Lodging,Lodging,Hotels Motels,Hotel",9.997203201055529,1
Best Western Intracoastal Inn,810 S US Highway 1,Best_Western_Intracoastal_Inn.png,9.99718502163887,"Hotels,Hotels and motels,Hotel and motel mgmt.,Lodging,Hotels Motels,Hotel",9.99718502163887,1
Comfort Suites-redmond Airport,2243 Sw Yew Ave,Comfort_Suites-redmond_Airport.png,9.99717965722084,"Hotels,Hotels and motels,Corporate Lodging,Lodging,Hotels Motels,Motels,Hotels & Motels,Hotel",9.99717965722084,1
Capri Motel,418 S Echo St,Capri_Motel.png,9.997177571058272,"Cabins,Hotels and motels,Motels,Hotels & Motels,Hotel",9.997177571058272,1
Quality Inn,1507 Martin Springs Dr,Quality_Inn.png,9.99716818332672,"Hotels,Corporate Lodging,Hotels Motels,Motels,Hotel",9.99716818332672,1
Hampton Inn & Suites El Paso-Airport,6635 Gateway Blvd W,Hampton_Inn___Suites_El_Paso-Airport.png,9.99716341495514,"Hotels,Hotels and motels,Corporate Lodging,Lodging,Hotel",9.99716341495514,1
Holiday Inn Express Suites Manhattan,115 Blue Earth Pl,Holiday_Inn_Express_Suites_Manhattan.png,9.997147917747498,"Budget Hotels,Resorts,Meeting Facilities,Lodging,Family-friendly Hotels,Weekend Getaway Hotels,Wedding Sites,Tourist Hotels,Hotels Motels,Meeting Room,Hotels & Motels,Beach Hotels,Business Hotels,Hotel",19.994295835494995,2
Hill Country Equestrian Lodge,1580 Hay Hollar Rd,Hill_Country_Equestrian_Lodge.png,9.99711312353611,"Hotels and motels,Hotel and motel reservations,Resorts,Hotel,Lodges",19.99422624707222,2
Hampton Inn Suites Yonkers,160 Corporate Dr,Hampton_Inn_Suites_Yonkers.png,9.997111856937408,"Hotels,Hotels and motels,Hotel Northwest Yonkers,Corporate Lodging,Lodging,Hotel",9.997111856937408,1
Microtel Inn Suites By Wyndham Kearney,104 W Talmadge Rd,Microtel_Inn_Suites_By_Wyndham_Kearney.png,9.997104555368423,"Hotels,Hotel and motel consultants,Hotels and motels,Hotel and motel reservations,Lodging,Hotels Motels",9.997104555368423,1
Chateau Orleans,240 Burgundy St,Chateau_Orleans.png,9.997102469205856,"Hotels and motels,Hotel",9.997102469205856,1
Pelican Shores Inn,2645 Nw Inlet Ave,Pelican_Shores_Inn.png,9.997096210718157,"Hotels,Hotels and motels,Hotel and motel reservations,Lodging,Hotels Motels,Motels,Hotel",9.997096210718157,1
The Lodge At Lolo Hot Springs,38600 Highway 12 W,The_Lodge_At_Lolo_Hot_Springs.png,9.997087568044662,"Hotels and motels,Hotel and motel reservations,Resorts,Hotel",9.997087568044662,1
Hampton Inn Suites Pigeon Forge On The Parkway,2025 Parkway,Hampton_Inn_Suites_Pigeon_Forge_On_The_Parkway.png,9.997082144021988,"Hotels,Hotels and motels,Corporate Lodging,Lodging,Hotels Motels,Hotel",49.98541072010994,5
Hotel Settles,200 E 3rd St,Hotel_Settles.png,9.997055754065514,"Hotels and motels,Hotel and motel reservations,Hotel",19.994111508131027,2
Best Western Garden Inn,101 Gosai Dr,Best_Western_Garden_Inn.png,9.997041523456572,"Hotels,Lodging,Hotels Motels,Hotel",9.997041523456572,1
Days Inn-Columbus Airport,750 Stelzer Rd,Days_Inn-Columbus_Airport.png,9.997032582759855,"Hotels,Corporate Lodging,Lodging,Hotels Motels,Airport Consultants,Motels,Hotel",9.997032582759855,1
Hampton Inn Chicago North-loyola Station,1209 W Albion Ave,Hampton_Inn_Chicago_North-loyola_Station.png,9.99702274799347,"Hotels,Hotels and motels,Corporate Lodging,Lodging,Hotel",9.99702274799347,1
Hampton Inn Suites by Hilton Owensboro Downtown Waterfront,401 W 2nd St,Hampton_Inn_Suites_by_Hilton_Owensboro_Downtown_Waterfront.png,9.997021913528442,"Hotels And Motels,Hotels & Motels,Hotel",49.98510956764221,5
Comfort Inn & Suites,2300 Soncy Road,Comfort_Inn___Suites.png,9.99702125787735,"Hotels Motels,Hotel",9.99702125787735,1
Motel 6-opelika,1107 Columbus Pkwy,Motel_6-opelika.png,9.997018277645113,"Hotels,Hotels and motels,Hotel and motel reservations,Hotels Motels,Hotel,Travel & Lodging",9.997018277645113,1
Holiday Inn Express & Suites Chicago South Lansing,2323 172nd St,Holiday_Inn_Express___Suites_Chicago_South_Lansing.png,9.997015744447708,"Family-Friendly Hotels,Resorts,Budget Hotels,Travel & Transport,Weekend Getaway Hotels,Tourist Hotels,Lodging,Hotels Motels,Hotels & Motels,Hotel,Beach Hotels,Business Hotels",19.994031488895416,2
The Chalet Motel Of Mequon,10401 N Port Washington Rd,The_Chalet_Motel_Of_Mequon.png,9.997012615203856,"Hotels and motels,Hotel",9.997012615203856,1
Lifts West Condominium Hotel,201 W Main St,Lifts_West_Condominium_Hotel.png,9.99701052904129,"Hotels,Lodging,Hotels Motels,Motels,Hotel",9.99701052904129,1
Comfort Inn-lone Pine,1920 S Main St,Comfort_Inn-lone_Pine.png,9.997003078460692,"Hotels and motels,Hotel",9.997003078460692,1
Mountain View Motel Campground,585 Fort St,Mountain_View_Motel_Campground.png,9.997000992298126,"Hotels and motels,Hotel",9.997000992298126,1
Sonesta Es Suites St Louis,1855 Craigshire Rd,Sonesta_Es_Suites_St_Louis.png,9.99699592590332,"Hotels and motels,Hotel",9.99699592590332,1
Comfort Suites-marietta,202 Cherry Tree Ln,Comfort_Suites-marietta.png,9.996995329856873,"Hotels and motels,Hotel",9.996995329856873,1
Best Western Inn,6500 Redwood Dr,Best_Western_Inn.png,9.99698519706726,"Hotels Motels,Hotel",9.99698519706726,1
Everett Street Guest House,2306 NE Everett St,Everett_Street_Guest_House.png,9.99696072936058,"Bed Breakfast,Hotels Motels,Hotel",49.9848036468029,5
FishUn Time Resort,1009 CR 123,FishUn_Time_Resort.png,9.996953345835207,"Hotels,Oakland Hotels,Resort,Arkansas (ar),Oakland,Hotel",39.98781338334084,4
Hotel 414 Anaheim,414 W Ball Rd,Hotel_414_Anaheim.png,9.99694399535656,"Hotels and motels,Resorts,Hotels Motels,Hotel",19.99388799071312,2
Aerostay Hotel,2821 N Jaycee Ln,Aerostay_Hotel.png,9.996925741434096,"Hotels,Lodging,Hotels Motels,Motels,Hotel",9.996925741434096,1
Cliffs At Princeville,3811 Edward Rd,Cliffs_At_Princeville.png,9.996903240680696,"Resorts,Hotels and motels,Hotel and motel reservations,Hotels Motels,Hotel",9.996903240680696,1
Shalimar Cottages Motel,2823 W Gulf Dr,Shalimar_Cottages_Motel.png,9.9969020485878,"Hotels and motels,Resorts,Hotel",9.9969020485878,1
Kimpton Hotel Monaco Philadelphia,433 Chestnut Street,Kimpton_Hotel_Monaco_Philadelphia.png,9.99689258635044,"Hotels,Hotel",39.98757034540176,4
Ocean Villa Inn,5142 W Point Loma Blvd,Ocean_Villa_Inn.png,9.996885359287262,"Hotels and motels,Hotels Motels,Hotel",9.996885359287262,1
Castle Mountain Lodge,1520 Fall River Rd,Castle_Mountain_Lodge.png,9.996883869171144,"Hotels,Hotels and motels,Resorts,Lodging,Hotels Motels,Hotel",9.996883869171144,1
Lollye On The Beach,8507 Surf Dr,Lollye_On_The_Beach.png,9.996880888938904,"Hotels Motels,Hotels & Motels,Motels,Hotel",9.996880888938904,1
Hampton Inn El Reno,1530 SW 27th Street,Hampton_Inn_El_Reno.png,9.996872544288635,"Hotels,Hotel",9.996872544288635,1
Appomattox Inn Suites,447 Old Courthouse Rd,Appomattox_Inn_Suites.png,9.996864199638368,"Hotels and motels,Hotels Motels,Hotel",9.996864199638368,1
Friendship Inn,1800 N Main St,Friendship_Inn.png,9.996861219406128,"Hotels,Restaurant,American Restaurant,Motel,Motels,Hotel",9.996861219406128,1
Residence Inn Dallas Richardson,1040 Waterwood Dr,Residence_Inn_Dallas_Richardson.png,9.996861070394516,"Meeting Room,Hotels Motels,Hotel",19.993722140789032,2
Hampton Inn Suites Knoxville-turkey Creek/farragut,11340 Campbell Lakes Dr,Hampton_Inn_Suites_Knoxville-turkey_Creek_farragut.png,9.996854215860369,"Hotels and motels,Hotel and motel reservations,Hotel",9.996854215860369,1
The Westin Houston Memorial City,945 Gessner Rd,The_Westin_Houston_Memorial_City.png,9.996844977140428,"Event Space,Hotels and motels,Hotel",9.996844977140428,1
The Nest Palo Alto,3901 El Camino Real,The_Nest_Palo_Alto.png,9.996827393770218,"Hotels and motels,Motel,Hotel",9.996827393770218,1
Kaanapali Alii,50 Nohea Kai Dr,Kaanapali_Alii.png,9.996824115514755,"Hotels,Resorts,Lodging,Hotel",9.996824115514755,1
BEST WESTERN PLUS Gadsden Hotel & Suites,205 Enterprise Dr,BEST_WESTERN_PLUS_Gadsden_Hotel___Suites.png,9.996786117553713,"Hotels,Corporate Housing,Lodging,Hotels Motels,Hotel",9.996786117553713,1
Lakewoods Resort,10425 S State Highway 125,Lakewoods_Resort.png,9.996769726276398,"Resorts,Lodging,Hotels Motels,Hotel",9.996769726276398,1
Residence Inn by Marriott New York The Bronx at Metro Center Atrium,1776 Eastchester Road,Residence_Inn_by_Marriott_New_York_The_Bronx_at_Metro_Center_Atrium.png,9.996761977672575,"Hotels,Lodging,Hotel",9.996761977672575,1
Comfort Suites,201 SE Interstate Dr,Comfort_Suites.png,9.9967572838068,"Hotels,Corporate Lodging,Motel,Lodging,Motels,Hotels & Motels,Hotel",19.9935145676136,2
